universal	cityscapes-34
backpack	unlabeled
umbrella	unlabeled
bag	unlabeled
tie	unlabeled
suitcase	unlabeled
case	unlabeled
bird	unlabeled
cat	unlabeled
dog	unlabeled
horse	unlabeled
sheep	unlabeled
cow	unlabeled
elephant	unlabeled
bear	unlabeled
zebra	unlabeled
giraffe	unlabeled
animal_other	unlabeled
microwave	unlabeled
radiator	unlabeled
oven	unlabeled
toaster	unlabeled
storage_tank	unlabeled
conveyor_belt	unlabeled
sink	unlabeled
refrigerator	unlabeled
washer_dryer	unlabeled
fan	unlabeled
dishwasher	unlabeled
toilet	unlabeled
bathtub	unlabeled
shower	unlabeled
tunnel	tunnel
bridge	bridge
pier_wharf	bridge
tent	unlabeled
building	building
ceiling	unlabeled
laptop	unlabeled
keyboard	unlabeled
mouse	unlabeled
remote	unlabeled
cell phone	unlabeled
television	unlabeled
floor	unlabeled
stage	unlabeled
banana	unlabeled
apple	unlabeled
sandwich	unlabeled
orange	unlabeled
broccoli	unlabeled
carrot	unlabeled
hot_dog	unlabeled
pizza	unlabeled
donut	unlabeled
cake	unlabeled
fruit_other	unlabeled
food_other	unlabeled
chair_other	unlabeled
armchair	unlabeled
swivel_chair	unlabeled
stool	unlabeled
seat	unlabeled
couch	unlabeled
trash_can	unlabeled
potted_plant	vegetation
nightstand	unlabeled
bed	unlabeled
table	unlabeled
pool_table	unlabeled
barrel	unlabeled
desk	unlabeled
ottoman	unlabeled
wardrobe	unlabeled
crib	unlabeled
basket	unlabeled
chest_of_drawers	unlabeled
bookshelf	unlabeled
counter_other	unlabeled
bathroom_counter	unlabeled
kitchen_island	unlabeled
door	unlabeled
light_other	unlabeled
lamp	unlabeled
sconce	unlabeled
chandelier	unlabeled
mirror	unlabeled
whiteboard	unlabeled
shelf	unlabeled
stairs	unlabeled
escalator	unlabeled
cabinet	unlabeled
fireplace	unlabeled
stove	unlabeled
arcade_machine	unlabeled
gravel	terrain
platform	sidewalk
playingfield	terrain
railroad	rail track
road	road
snow	unlabeled
sidewalk_pavement	sidewalk
runway	road
terrain	terrain
book	unlabeled
box	unlabeled
clock	unlabeled
vase	unlabeled
scissors	unlabeled
plaything_other	unlabeled
teddy_bear	unlabeled
hair_dryer	unlabeled
toothbrush	unlabeled
painting	unlabeled
poster	unlabeled
bulletin_board	unlabeled
bottle	unlabeled
cup	unlabeled
wine_glass	unlabeled
knife	unlabeled
fork	unlabeled
spoon	unlabeled
bowl	unlabeled
tray	unlabeled
range_hood	unlabeled
plate	unlabeled
person	person
rider_other	rider
bicyclist	rider
motorcyclist	rider
paper	unlabeled
streetlight	unlabeled
road_barrier	wall
mailbox	unlabeled
cctv_camera	unlabeled
junction_box	unlabeled
traffic_sign	traffic sign
traffic_light	traffic light
fire_hydrant	unlabeled
parking_meter	unlabeled
bench	unlabeled
bike_rack	unlabeled
billboard	unlabeled
sky	sky
pole	pole
fence	fence
railing_banister	unlabeled
guard_rail	guard rail
mountain_hill	unlabeled
rock	terrain
frisbee	unlabeled
skis	unlabeled
snowboard	unlabeled
sports_ball	unlabeled
kite	unlabeled
baseball_bat	unlabeled
baseball_glove	unlabeled
skateboard	unlabeled
surfboard	unlabeled
tennis_racket	unlabeled
net	unlabeled
base	unlabeled
sculpture	unlabeled
column	building
fountain	unlabeled
awning	building
apparel	unlabeled
banner	unlabeled
flag	unlabeled
blanket	unlabeled
curtain_other	unlabeled
shower_curtain	unlabeled
pillow	unlabeled
towel	unlabeled
rug_floormat	unlabeled
vegetation	vegetation
bicycle	bicycle
car	car
autorickshaw	unlabeled
motorcycle	motorcycle
airplane	unlabeled
bus	bus
train	train
truck	truck
trailer	trailer
boat_ship	unlabeled
slow_wheeled_object	unlabeled
river_lake	unlabeled
sea	unlabeled
water_other	unlabeled
swimming_pool	unlabeled
waterfall	unlabeled
wall	wall
window	building
window_blind	building
unlabeled	unlabeled